URL,Name,Price,Bread Crumbs,Category,Images,Sizes Available,Title of Description,General Description,General Description Itemized,Rating
https://shop.adidas.jp/products/IG1705/,スーパースター ADV / Superstar ADV,"14,300",トップ / ユニセックス / シューズ・靴 / スニーカー / オリジナルス / スーパースター / スーパースター ADV / Superstar ADV, オリジナルス,"https://shop.adidas.jp/photo/IG/IG1705/z-IG1705-standard-side_lateral_center_view-eQQxGCH2RB.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg","22.0cm, 22.5cm, 23.0cm, 23.5cm, 24.0cm, 24.5cm, 25.0cm, 25.5cm, 26.0cm, 26.5cm, 27.0cm, 27.5cm, 28.0cm, 28.5cm, 29.0cm, 29.5cm, 30.0cm",アディダスが誇るアイコンが、スケートボーディングスタイルに。,70年代のバスケットボールにルーツを持つアディダス スーパースターシューズが、スケートパークに似合うモデルにアップデート。ストリートで滑ったり、街なかでリラックスするときに、スタイルと機能性の両方を提供するモデルになった。特徴的なシェルトゥは、かつてはつま先の保護のためのものだったが、今やデイリーアイコンのトレードマークに。ステッチを施したレイヤーと一体型のシュータンが、スケートボーディングに必要な耐久性と適度なフィット感を生んでいる。　※「Super Star」は、株式会社ムーンスターの日本における登録商標です。足元をレジェンドで固めて、滑りに行こう。,"レギュラーフィット, シューレースクロージャー, レザーアッパー, テキスタイルライニング, ラバーアウトソール",
https://shop.adidas.jp/products/IF1514/,デイム 8 EXTPLY / Dame 8 EXTPLY,"16,500",トップ / ユニセックス / バスケットボール / シューズ・靴 / スポーツシューズ / デイム / デイム 8 EXTPLY / Dame 8 EXTPLY, バスケットボール,"https://shop.adidas.jp/photo/IF/IF1514/z-IF1514-standard-side_lateral_center_view-kOR8YYV2rn.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg","24.5cm, 25.0cm, 25.5cm, 26.0cm, 26.5cm, 27.0cm, 27.5cm, 28.0cm, 28.5cm, 29.0cm, 29.5cm, 30.0cm, 30.5cm, 31.0cm",ダミアン・リラードとコラボしたシグネチャーシューズ。,自分のやるべき事から逃げてはいけない。ダミアン・リラードとアディダス バスケットボールの最新シグネチャーシューズを履いているなら、なおさら。格段に優れた耐久性を発揮するこのデイム8 EXTPLYシューズは、ダイナミックなBounceミッドソールを搭載し、安定性と軽量で柔軟なクッショニングを兼ね備えている。内側のソックス構造とTPUプロパルションプレートが、足をしっかりとホールド。ロングシュートを確実に決められるように、あるいは、終盤の重要な局面でゲームをひっくり返すプレーヤーのように決勝点をゴールに沈められるように、何時間も体育館での練習に励む選手が、自信を持って動けるようアシスト。,"レギュラーフィット, シューレースクロージャー / ミッドフットストラップ, テキスタイルアッパー, Bounceミッドソール, テキスタイルライニング, ラバーアウトソール",
https://shop.adidas.jp/products/IE2707/,トレイ・ヤング 3 ロー / Trae Young 3 Low,"19,800",トップ / メンズ / バスケットボール / シューズ・靴 / スポーツシューズ / トレイ・ヤング 3 ロー / Trae Young 3 Low,メンズ,"https://shop.adidas.jp/photo/IE/IE2707/z-IE2707-standard-side_lateral_center_view-3FtBbtJrfD.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg","25.0cm, 25.5cm, 26.0cm, 26.5cm, 27.0cm, 27.5cm, 28.0cm, 28.5cm, 29.0cm, 29.5cm, 30.0cm, 30.5cm, 31.0cm",トレイ・ヤングとのコラボで生まれたシグネチャーシューズ。,次のステージに向けて準備しよう。トレイ・ヤングとアディダス バスケットボールがタッグを組んで作り上げた、未来を感じさせるシグネチャーシューズ。トレイの個性的なルックス、観客を魅了する威勢の良さ、そして表情豊かで新しいプレースタイルをセレブレート。スーパースターとしての地位を確固たるものにした彼のプレーを支える、動きやすさと安定性という2つの要素を兼ね備えた設計。爆発的な動きを可能にするミッドソールと、力強い軸足とカットを支えるラバーアウトソールを合わせている。,"レギュラーフィット, シューレースクロージャー, テキスタイルアッパー, テキスタイルライニング, ラバーアウトソール",
https://shop.adidas.jp/products/IR8000/,アディカラー トレフォイル 半袖Tシャツ,"4,950",トップ / メンズ / ウェア・服 / トップス / Tシャツ / オリジナルス / アディカラー / アディカラー トレフォイル 半袖Tシャツ,メンズ,"https://shop.adidas.jp/photo/IR/IR8000/z-IR8000-on_model-standard_view-fVPZaNUldN.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg","XS, S, M, L, XL, 2XL, 3XL",トレフォイルスタイルのタイムレスなTシャツ。,生まれ変わったクラシックアイテム。このアディダスTシャツは、カジュアルスタイルにコンテンポラリーなひねりを加えてアップデート。正面に、スポーツブランドの証しとなるアイコニックなトレフォイルロゴをスクリーンプリントしている。デイリーウェアにぴったりな、ソフトなコットン素材を用いたクラシックなフィット感のエフォートレスなルックスだから、どんなコーディネートにも欠かせない。 ,"レギュラーフィット, リブ仕上げのクルーネック, 綿100%（シングルジャージー）, 素材は、ベターコットンを通して、マスバランスと呼ばれるシステム経由で調達しているため、この製品には実際にベターコットンが使用されていない可能性があります。",
https://shop.adidas.jp/products/IR7979/,アディカラー トレフォイル 半袖Tシャツ,"4,950",トップ / メンズ / ウェア・服 / トップス / Tシャツ / オリジナルス / アディカラー / アディカラー トレフォイル 半袖Tシャツ,メンズ,"https://shop.adidas.jp/photo/IR/IR7979/z-IR7979-on_model-standard_view-ry8mhFVNDK.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg","XS, S, M, L, XL, 2XL, 3XL",トレフォイルスタイルのタイムレスなTシャツ。,生まれ変わったクラシックアイテム。このアディダスTシャツは、カジュアルスタイルにコンテンポラリーなひねりを加えてアップデート。正面に、スポーツブランドの証しとなるアイコニックなトレフォイルロゴをスクリーンプリントしている。デイリーウェアにぴったりな、ソフトなコットン素材を用いたクラシックなフィット感のエフォートレスなルックスだから、どんなコーディネートにも欠かせない。 ,"レギュラーフィット, リブ仕上げのクルーネック, 綿100%（シングルジャージー）, 素材は、ベターコットンを通して、マスバランスと呼ばれるシステム経由で調達しているため、この製品には実際にベターコットンが使用されていない可能性があります。",
https://shop.adidas.jp/products/IE8542/,アディゼロ アフターバーナー 9 スパイク / Adizero Afterburner 9 Cleats,"13,200",トップ / メンズ / 野球・ベースボール / シューズ・靴 / スポーツシューズ / アディゼロ / アディゼロ アフターバーナー 9 スパイク / Adizero Afterburner 9 Cleats,メンズ,"https://shop.adidas.jp/photo/IE/IE8542/z-IE8542-standard-side_lateral_center_view-qIvCRsTLYP.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg","26.0cm, 26.5cm, 27.0cm, 27.5cm",リサイクル素材を一部使用した、軽量ベースボールスパイク。,フィールド最速プレーヤーのためにデザインされた、試合を勝利に導くアディゼロ アフターバーナー 9 ベースボール スパイク。ワイドなシューレースと成型シュータンが足をしっかり安定させ、一切の迷いなく、キビキビと動ける。軽量Sprintskinアッパーと通気性に優れたメッシュが足元を軽やかに保ち、非常に軽いLightstrikeミッドソールが、爆発的なスピードをもたらす。スピードを追求した作りのパフォーマンススパイクで、ライバルを圧倒するようなインパクトのあるプレーを繰り出そう。,"レギュラーフィット, シューレースクロージャー, Sprintskin合成アッパー, テキスタイルライニング, Lightstrikeクッショニング, 合成アウトソールに金属製スパイク, リサイクル素材を20%以上使用",
https://shop.adidas.jp/products/IE7798/,D.O.N. Issue 5,"16,500",トップ / ユニセックス / バスケットボール / シューズ・靴 / スポーツシューズ / D.O.N. Issue / D.O.N. Issue 5, バスケットボール,"https://shop.adidas.jp/photo/IE/IE7798/z-IE7798-standard-side_lateral_center_view-X3e2sOOv0X.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg","24.5cm, 25.0cm, 25.5cm, 26.0cm, 26.5cm, 27.0cm, 27.5cm, 28.0cm, 28.5cm, 29.0cm, 29.5cm, 30.0cm, 30.5cm, 31.0cm",ドノバン・ミッチェルとアディダスがコラボしたシグネチャーシューズ。,コートに初めて足を踏み入れたときからずっと、ゲームチェンジャーであり続けているドノバン・ミッチェル。彼のプレーが成長と進化を遂げた今もなお、そんなステータスは変わっていない。D.O.N. Issue 5は、アディダス バスケットボールが贈る彼のシグネチャーシューズ。スパイダのコート上のパーソナリティーとコート外での社会的活動を象徴する一足。非常に軽いLightstrikeミッドソールと、彫りの深いトラクションパターンを配したユニークなラバーアウトソールを備えたバスケットボールシューズ。トップ選手のようにゲームを支配する足元をサポートしてくれる。,"レギュラーフィット, シューレースクロージャー, 合成アッパー, Lightstrikeクッショニング, テキスタイルライニング, ラバーアウトソール",
https://shop.adidas.jp/products/IG1798/,ゲームコート 2.0 オムニコート / GameCourt 2.0 Omnicourt,"7,370",トップ / メンズ / テニス / シューズ・靴 / スポーツシューズ / ゲームコート 2.0 オムニコート / GameCourt 2.0 Omnicourt,メンズ,"https://shop.adidas.jp/photo/IG/IG1798/z-IG1798-standard-side_lateral_center_view-1ublv8Tl2v.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg","23.0cm, 23.5cm, 24.0cm, 24.5cm, 25.0cm, 25.5cm, 26.0cm, 26.5cm, 27.0cm",リサイクル素材を一部使用した、快適な人工芝用テニスシューズ。,全てのセット、マッチを通して、自信をもって挑みたい。軽量メッシュアッパーとパッド入りヒールを搭載したゲームコート 2.0は、テニスのプレーをサポートする一足。クッション性に優れたCloudfoamミッドソールの下には、人工芝でゲームの流れを左右するトラクションを発揮する、アディウェアオムニコートアウトソールを搭載している。,"シューレースクロージャー, テキスタイルアッパー / トゥにアディタフ搭載, テキスタイルライニング, トルションシステム, Cloudfoamミッドソール, アディウェア 6 オムニコート ノンマーキングラバーアウトソール, アッパーのリサイクル材料含有率は50％以上",
https://shop.adidas.jp/products/IS8899/,ADICROSS撥水アノラックフーディー,"12,551",トップ / メンズ / ゴルフ / ウェア・服 / アウター / ジャケット / アディクロスライン / ADICROSS撥水アノラックフーディー,メンズ,"https://shop.adidas.jp/photo/IS/IS8899/z-IS8899-on_model-standard_view-XQIRuJPrdS.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg","XS, S, M, L, XL, 2XL",リサイクル素材を一部使用した、ちょっと寒い日に重宝するジャケット。,コースに出るなら、自分らしいスタイルで。このAdicross アノラックは、仲間とのラウンドや週末のルーティンにぴったり。襟に収納できるフードから、動きやすいストレッチ素材まで、季節の変わり目や寒い日に欠かせないアイテムとなる要素を携えた、幅広く活躍するウェア。 ,"レギュラーフィット, スナップボタンカバーフラップ付きハーフジップフロント, ナイロン88% / ポリウレタン12%（リップストップ）, ストレッチの効いた生地, スタンドカラー / 襟に収納可能なドローコード付きフード, トップとサイドから物の出し入れができる大きなフロントポケット, サイドにジップ, 袖口と裾に伸縮性のあるメッシュテープ, リフレクター付き",
https://shop.adidas.jp/products/IN3317/,フューチャー アイコン バッジ オブ スポーツ トラックジャケット（ジャージ）,"9,900",トップ / メンズ / ウェア・服 / トップス / ジャージ / スポーツウェア / アイコン / フューチャー アイコン バッジ オブ スポーツ トラックジャケット（ジャージ）,メンズ,"https://shop.adidas.jp/photo/IN/IN3317/z-IN3317-on_model-standard_view-hKc1h1RPum.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg","XS, S, M, L, XL, 2XL, 3XL",リサイクル&再生可能素材を一部使用したトラックトップ。,街に繰り出すときも、家でリラックスするときにも活躍するトラックトップ。スポーティーで耐久性に優れたインターロック素材を採用。背面にパフプリントで大きく配したバッジ オブ スポーツのグラフィックが人目を引くデザイン。リブ仕上げのカフが袖がずれるのを防ぎ、サイドポケットには小物を収納できる。くつろぎ感と洗練された雰囲気を持ち合わせた、ワードローブの定番アイテム。,"レギュラーフィット, フルジップ / リブ仕上げのスタンドカラー, 綿64% / ポリエステル36%（インターロック）, サイドシームポケット, リブ仕上げの袖口と裾, 背面に大きなパフプリントのアディダス バッジ オブ スポーツ, リサイクル・再生可能素材を70%以上使用",
https://shop.adidas.jp/products/IN3306/,フューチャー アイコン スリーストライプス ウーブン ウインドブレーカー,"11,000",トップ / メンズ / ウェア・服 / アウター / ウインドブレーカー / スポーツウェア / アイコン / フューチャー アイコン スリーストライプス ウーブン ウインドブレーカー,メンズ,"https://shop.adidas.jp/photo/IN/IN3306/z-IN3306-on_model-standard_view-7kKyoKBGEM.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg","S, M, L, XL, 2XL, 3XL",リサイクル素材で作られた、クォータージップジャケット。,どんな冒険が待ち受けていても、このウインドブレーカーが味方をしてくれそう。ポリエステル製リップストップ生地のシェルにWIND. RDYテクノロジーを搭載した作りが、悪天候から身体を保護する。リフレクター仕様のスリーストライプスをあしらった、控えめでアイコニックなスポーツウェアスタイル。必需品を安全に収納できるジップポケットを装備しているから、急に思いついた外出にも柔軟に対応できる。,"レギュラーフィット, クォータージップ / スタンドカラー, ポリエステル100%（リップストップ）, WIND. RDY, カンガルーポケットとジップポケット, ドローコードで調節できるフードは折り畳んで収納可能, 伸縮性のあるカフ",
